rank,first,last,age,country,gender,source,industry,worth,worthChange,image
1,Jeff Bezos,Bezos,54,United States,M,Amazon,Technology,112000,0,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
2,Bill Gates,Gates,62,United States,M,Microsoft,Technology,90000,-0.001,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
3,Warren Buffett,Buffett,87,United States,M,Berkshire Hathaway,Finance and Investments,84000,-0.002,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
4,Bernard Arnault,Arnault,69,France,M,LVMH,Fashion & Retail,72000,0,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
5,Mark Zuckerberg,Zuckerberg,34,United States,M,Facebook,Technology,71000,0,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
6,Amancio Ortega,Ortega,82,Spain,M,Zara,Fashion & Retail,70000,0,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
7,Carlos Slim Helu,Slim Helu,78,Mexico,M,telecom,Telecom,67100,0.001,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
8,Charles Koch,Koch,82,United States,M,Koch Industries,Diversified,60000,0,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
9,David Koch,Koch,78,United States,M,Koch Industries,Diversified,60000,0,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
10,Larry Ellison,Ellison,73,United States,M,software,Technology,58500,-0.001,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
16,Alice Walton,Walton,68,United States,F,Walmart,Fashion & Retail,46000,0,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
18,Francoise Bettencourt Meyers,Bettencourt Meyers,64,France,F,L'Oreal,Fashion & Retail,42200,0,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
32,Susanne Klatten,Klatten,56,Germany,F,"BMW, pharmaceuticals",Automotive,25000,0,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236
34,Jacqueline Mars,Mars,78,United States,F,"candy, pet food",Food and Beverage,23600,0,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
43,Yang Huiyan,Yang,36,China,F,real estate,Real Estate,21900,0,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602
58,Laurene Powell Jobs,Powell Jobs,54,United States,F,"Apple, Disney",Philanthropy/NGO,18800,0,https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333
71,Gina Rinehart,Rinehart,64,Australia,F,mining,Metals & Mining,17400,-1.257,https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995
81,Iris Fontbona,Fontbona,75,Chile,F,mining,Metals & Mining,16300,0,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556
83,Abigail Johnson,Johnson,56,United States,F,money management,Finance and Investments,15900,0,https:http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621
86,Charlene de Carvalho-Heineken,de Carvalho-Heineken,63,Netherlands,F,Heineken,Food and Beverage,15800,0,https://specials-images.forbesimg.com/imageserve/5a7fd414a7ea4316901331b7/416x416.jpg?background=000000&cropX1=0&cropX2=3280&cropY1=887&cropY2=4168
